frame_nmr,car_id,license_number,license_number_score
274,1,AP05JEO,0.9236
42,3,NA13NRU,0.6869
17,5,ML51VSU,0.6151
252,6,GY15OGJ,0.7505
294,8,KK05ZZK,0.9183
469,10,DR01FKO,0.3066
570,14,FJ14ZHY,0.6778
270,41,LM13VCV,0.6303
1133,156,AK64DMV,0.9710
605,480,EY61NBG,0.9483
856,521,NA51KCJ,0.3340
1672,536,GJ06EPD,0.9328
776,551,GV08HVF,0.5795
1185,580,OU62HIJ,0.2590
875,629,BC65USJ,0.9028
1354,640,AF65JKV,0.8244
831,787,BG65USJ,0.8808
866,825,BC65USJ,0.7681
907,837,BG65USJ,0.9271
898,844,BG65USJ,0.8621
934,883,BG65USJ,0.9031
1795,897,DA07CLX,0.9554
938,901,EG65USJ,0.3254
1104,910,EF10DZT,0.9049
1498,958,KH06KSU,0.7234
1678,1160,LM15ZZC,0.9463
1740,1442,EY06VOG,0.3892
1698,1447,VE03MDS,0.0894
1735,1450,EY06VMS,0.1634
1757,1469,EV06VVG,0.1789
2276,1484,BP63LYH,0.9807
1797,1488,EY06VVS,0.2606
1927,1533,EY09VVS,0.7913
2013,1637,EY09VMS,0.7157
2865,1678,LP14LJA,0.7941
2681,1868,LI61PZS,0.4918
2549,1877,AG65ZFX,0.8714
2782,2211,NL64OGX,0.9644
3420,2251,CE61LYL,0.9722
2631,2315,NL61OGX,0.2511
3588,2508,SC56DYP,0.6515
3267,2591,OU06XRO,0.1641
